tweet_id,retweet_count,favourite_count
892420643555336193,7435,35260
892177421306343426,5527,30516
891815181378084864,3648,22945
891689557279858688,7611,38551
891327558926688256,8194,36828
891087950875897856,2749,18566
890971913173991426,1779,10797
890729181411237888,16623,59379
890609185150312448,3798,25546
890240255349198849,6439,29136
890006608113172480,6463,28111
889880896479866881,4386,25572
889665388333682689,8813,43882
889638837579907072,3940,24688
889531135344209921,1990,13907
889278841981685760,4692,23047
888917238123831296,3945,26657
888804989199671297,3729,23405
888554962724278272,3046,18041
888078434458587136,3056,19935
887705289381826560,4760,27724
887517139158093824,10367,42447
887473957103951883,15831,62795
887343217045368832,9279,30821
887101392804085760,5258,28062
886983233522544640,6726,31819
886736880519319552,2801,10931
886680336477933568,3943,20591
886366144734445568,2789,19326
886267009285017600,4,110
886258384151887873,5573,25585
886054160059072513,96,0
885984800019947520,5918,29816
885528943205470208,5630,32893
885518971528720385,3291,18751
885311592912609280,16291,0
885167619883638784,3849,20030
884925521741709313,15907,70364
884876753390489601,4919,25452
884562892145688576,4138,22250
884441805382717440,5026,24825
884247878851493888,17886,66303
884162670584377345,2637,18691
883838122936631299,3014,19998
883482846933004288,8702,41929
883360690899218434,3242,20754
883117836046086144,5850,33930
882992080364220416,3415,21864
882762694511734784,4302,25848
882627270321602560,5347,25657
882268110199369728,10223,41006
882045870035918850,4287,26825
881906580714921986,3000,22314
881666595344535552,9418,46375
881633300179243008,7,116
881536004380872706,14123,45265
881268444196462592,4681,21319
880935762899988482,2467,15668
880872448815771648,3375,19501
880465832366813184,5483,26052
880221127280381952,3664,24663
880095782870896641,3843,25298
879862464715927552,3072,20493
879674319642796034,10,291
879492040517615616,2795,21522
879415818425184262,39423,96828
879376492567855104,2765,15448
879130579576475649,6016,0
879050749262655488,4154,20670
879008229531029506,2364,17442
878776093423087618,3621,17767
878604707211726852,6239,27534
878404777348136964,1126,0
878316110768087041,5860,0
878281511006478336,1126,7080
878057613040115712,6016,38640
877736472329191424,16725,72514
877611172832227328,71,0
877556246731214848,3366,20836
877316821321428993,4607,25184
877201837425926144,4915,24885
876838120628539392,2949,19003
876537666061221889,4160,21816
876484053909872640,2091,17253
876120275196170240,4122,25732
875747767867523072,3778,23071
875144289856114688,4350,20168
875097192612077568,5402,25229
875021211251597312,4182,23464
874680097055178752,4112,25598
874434818259525634,12866,0
874296783580663808,3663,23965
874057562936811520,3540,20932
874012996292530176,9067,31410
873580283840344065,3500,22305
873337748698140672,1404,0
873213775632977920,1404,6595
872967104147763200,4807,25092
872820683541237760,3313,13588
872620804844003328,3240,19106
872486979161796608,8096,37556
872122724285648897,7226,31540
871879754684805121,9746,34569
871762521631449091,3106,18647
871515927908634625,3108,18629
871166179821445120,5106,0
871102520638267392,4930,19320
871032628920680449,3405,21012
870804317367881728,5543,31074
870726314365509632,3,112
870656317836468226,2336,11364
870374049280663552,23873,76899
870308999962521604,3720,20297
870063196459192321,7454,33774
869772420881756160,9115,39441
869702957897576449,5650,26100
